Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=931s,UT,UTSA,00:15:31,UTSA,UT,Possession Change,TRUE,Unsure (Camera Issue),,2,0,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=940s,UT,UTSA,00:15:40,UT,UTSA,Possession Change,,Block (G. Floyd),,1,2,,,,"K. Velazquez, G. Floyd",,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=951s,UT,UTSA,00:15:51,UTSA,UT,Possession Change,TRUE,Bad Pass,"Didn't wait for beaters, bad pass from G. Floyd",2,1,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,G. Floyd,J. Tijerina
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=954s,UT,UTSA,00:15:54,UTSA,UT,Goal Scored,TRUE,,,2,1,,Dunk,Medium,None,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=964s,UT,UTSA,00:16:04,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=992s,UT,UTSA,00:16:32,UTSA,UT,Possession Change,TRUE,Ballcarrier Beat,Bad pass from D. Dao,2,1,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,Y. Singhania,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=995s,UT,UTSA,00:16:35,UTSA,UT,Goal Scored,TRUE,,,2,1,,Dunk,Medium,None,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1010s,UT,UTSA,00:16:50,UT,UTSA,Possession Change,,Goal Scored,,2,1,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1042s,UT,UTSA,00:17:22,UTSA,UT,Possession Change,TRUE,Missed Shot,Bad shot from Y. Singhania,2,1,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,Y. Singhania,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1050s,UT,UTSA,00:17:30,UTSA,UT,Goal Scored,TRUE,,,1,1,14,Shot,Medium,"K. Velazquez, G. Floyd",Point-blank,Front,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1065s,UT,UTSA,00:17:45,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1081s,UT,UTSA,00:18:01,UTSA,UT,Possession Change,TRUE,Missed Shot,"Bad shot from G. Floyd, into trees",2,0,,,,,Medium,Front,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1088s,UT,UTSA,00:18:08,UTSA,UT,Goal Scored,TRUE,,,2,1,,Dunk,Small,None,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1096s,UT,UTSA,00:18:16,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1101s,UT,UTSA,00:18:21,UT,UTSA,Timeout,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1257s,UT,UTSA,00:20:57,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1280s,UT,UTSA,00:21:20,UTSA,UT,Possession Change,,Bad Fundamentals,"Bad catch, pass from K. Velazquez",2,0,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1283s,UT,UTSA,00:21:23,UT,UTSA,Possession Change,,Stripped Ball,Ball stripped by D. Dao,0,2,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1285s,UT,UTSA,00:21:25,UTSA,UT,Possession Change,,Ballcarrier Beat,,2,0,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
